City_ID,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
3,Bandarbeyla,SO,76.91,9.49,50.81,clear sky,REER XOOSHLE GROUP
5,New Norfolk,AU,66.0,-42.78,147.06,overcast clouds,The Shingles Riverside Cottages
6,Porto Novo,BJ,77.0,6.5,2.6,scattered clouds,Tour Eiffel Hotel Benin
9,Busselton,AU,72.0,-33.65,115.33,clear sky,Observatory Guest House
12,Havelock,US,75.2,34.88,-76.9,overcast clouds,Sherwood Motel
20,Rikitea,PF,74.3,-23.12,-134.97,clear sky,Pension Maro'i
27,Port Lincoln,AU,76.44,-34.73,135.87,clear sky,Port Lincoln Hotel
28,Airai,TL,77.25,-8.93,125.41,scattered clouds,Juvinal Martin
30,Geraldton,AU,71.6,-28.77,114.6,clear sky,Broadwater Mariner Resort
31,Ibra,OM,79.84,22.69,58.53,clear sky,مزرعة راحة النفوس المنزفة
34,San Quintin,MX,68.02,30.48,-115.95,clear sky,Old Mill Hotel
36,Chandla,IN,83.57,25.08,80.2,overcast clouds,Rest House
38,Cayenne,GF,73.4,4.93,-52.33,clear sky,Hôtel Le Dronmi
43,Mount Gambier,AU,71.6,-37.83,140.77,scattered clouds,Commodore on the Park
44,Hambantota,LK,82.4,6.12,81.12,few clouds,Bungalow 63
45,Sao Jose Da Coroa Grande,BR,75.34,-8.9,-35.15,scattered clouds,Crôa Mares Hotel
47,Mahebourg,MU,73.4,-20.41,57.7,scattered clouds,Shandrani Beachcomber Resort & Spa
51,Hithadhoo,MV,81.64,-0.6,73.08,light rain,Scoop Guest House
52,Ponta Do Sol,PT,69.8,32.67,-17.1,few clouds,Hotel do Campo
57,Xuddur,SO,72.37,4.12,43.89,clear sky,Banjanay Hotel
58,Itarema,BR,77.34,-2.92,-39.92,clear sky,Windvillage
60,Bengkulu,ID,78.53,-3.8,102.27,light rain,Grage Hotel Bengkulu
63,Hirado,JP,75.2,33.36,129.55,scattered clouds,Samson Hotel
64,Kapaa,US,84.2,22.08,-159.32,scattered clouds,Sheraton Kauai Resort at Coconut Beach
65,Porbandar,IN,83.26,21.64,69.61,overcast clouds,Lords Inn Porbandar
70,Hobart,AU,66.0,-42.88,147.33,broken clouds,St Ives Hobart Accommodation Tasmania
73,Vaini,TO,78.8,-21.2,-175.2,scattered clouds,Keleti Beach Resort
74,Souillac,MU,73.4,-20.52,57.52,scattered clouds,Bils' Villa
75,Saint-Philippe,RE,70.0,-21.36,55.77,light rain,"Chambres d'hôte ""La Trinité"""
79,Loreto,MX,66.49,22.27,-101.97,overcast clouds,José de Jesús Velásquez mora
82,Vila Franca Do Campo,PT,66.2,37.72,-25.43,broken clouds,Pestana Bahia Praia
88,Benjamin Constant,BR,77.0,-4.38,-70.03,light rain,CASA AVALIADA
89,San Patricio,US,80.01,28.02,-97.52,scattered clouds,"Motel 6 Sinton, TX"
94,Lorengau,PG,84.34,-2.02,147.27,light rain,Lorengau Harbourside Hotel
99,Kralendijk,BQ,84.2,12.15,-68.27,scattered clouds,Divi Flamingo Beach Resort & Casino
100,Puerto Ayora,EC,70.0,-0.74,-90.35,overcast clouds,Finch Bay Galapagos Hotel
103,Campoverde,PE,78.55,-8.48,-74.81,clear sky,"Hospedaje ""Señor De Muruhuay"""
106,Gat,IL,72.0,31.61,34.76,clear sky,OlusHome
110,Powell,US,66.99,40.16,-83.08,overcast clouds,The Brig
114,Alofi,NU,77.0,-19.06,-169.92,broken clouds,Taloa Heights
115,Impfondo,CG,67.35,1.64,18.07,overcast clouds,Préfecture de la Likouala
117,Ambilobe,MG,76.84,-13.2,49.05,clear sky,Hôtel & Restaurant DIANA Ambilobe
119,Sinnamary,GF,80.28,5.38,-52.95,clear sky,ALETHEIA Appartement Sinnamary
120,Flinders,AU,68.0,-34.58,150.86,scattered clouds,Shellharbour Resort & Conference Centre
124,Hobyo,SO,78.55,5.35,48.53,broken clouds,Osmani Hotel
125,Manta,EC,75.2,-0.95,-80.73,broken clouds,Balandra Hotel
126,Layou,VC,78.8,13.2,-61.27,scattered clouds,Buccament Bay Resort
132,Caravelas,BR,73.56,-17.71,-39.25,overcast clouds,Pousada dos Navegantes
133,Sao Filipe,CV,78.31,14.9,-24.5,few clouds,Tortuga B&B
135,Chateaubelair,VC,78.8,13.28,-61.25,scattered clouds,Richmond Vale Diving & Hiking Center
138,Ruteng,ID,77.43,-8.61,120.47,scattered clouds,Hotel FX72 Ruteng
142,Guia Lopes Da Laguna,BR,77.27,-21.46,-56.11,clear sky,Donna Lu
144,Laguna,US,75.99,38.42,-121.42,clear sky,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
148,Vao,NC,74.25,-22.67,167.48,broken clouds,Hotel Kou-Bugny
151,Asyut,EG,75.2,27.18,31.18,clear sky,Florence Hotel Assiut
154,Les Cayes,HT,79.16,18.2,-73.75,overcast clouds,Villa Orphee
156,Thanh Hoa,VN,77.63,19.8,105.77,overcast clouds,KHÁCH SẠN NGỌC LY 8
159,La Asuncion,VE,82.4,11.03,-63.86,light rain,Colinas de Matasiete
162,Carnarvon,AU,73.4,-24.87,113.63,clear sky,Hospitality Carnarvon
165,Saint-Leu,RE,70.0,-21.15,55.28,clear sky,La Caz Oceane
167,Port-Gentil,GA,77.65,-0.72,8.78,light rain,Fengshui Residence
171,Butaritari,KI,81.46,3.07,172.79,clear sky,Isles Sunset Lodge
173,Atuona,PF,78.44,-9.8,-139.03,clear sky,Villa Enata
176,Conde,BR,73.4,-7.26,-34.91,few clouds,Pousada Beija Flor
179,Road Town,VG,82.0,18.42,-64.62,overcast clouds,"ZINGARA 76ft Catamaran, full crew-all included"
181,Tutoia,BR,79.95,-2.76,-42.27,scattered clouds,Pousada Guará's
182,Arraial Do Cabo,BR,70.11,-22.97,-42.03,broken clouds,Pousada Porto Praia
183,Pedasi,PA,80.71,7.53,-80.03,overcast clouds,Selina Pedasi
185,Tautira,PF,84.2,-17.73,-149.15,few clouds,Pension Oaoa
186,Oussouye,SN,78.8,12.48,-16.55,scattered clouds,Auberge du Routard
188,Alice Springs,AU,80.6,-23.7,133.88,clear sky,Desert Palms Alice Springs
196,Praia Da Vitoria,PT,68.0,38.73,-27.07,broken clouds,Hotel Branco I
197,Forbes,AU,76.12,-33.38,148.02,broken clouds,Lake Forbes Motel
199,Suisun City,US,71.01,38.24,-122.04,clear sky,Hilton Garden Inn Fairfield
202,Hasaki,JP,72.0,35.73,140.83,mist,Inubosaki Kanko Hotel
205,Katsuura,JP,73.4,35.13,140.3,broken clouds,Katsuura Hotel Mikazuki
210,Bambous Virieux,MU,73.4,-20.34,57.76,scattered clouds,Casa Tia Villa
217,Baghmara,IN,84.87,23.8,86.21,few clouds,BCCL Guest House Dumra
220,Nabire,ID,83.07,-3.37,135.48,overcast clouds,Hotel Nusantara Nabire
230,Bud,US,66.99,39.45,-86.18,clear sky,Madsion Scouts Camp
232,Santo Estevao,BR,74.7,-12.43,-39.25,broken clouds,Campo Hotel
233,Tomatlan,MX,76.64,19.93,-105.25,broken clouds,Norma franco
237,Kisangani,CD,70.79,0.52,25.2,light rain,Grand Ramela Hotel
238,Ballina,AU,78.8,-28.87,153.57,scattered clouds,Ramada Hotel & Suites by Wyndham Ballina Byron
244,Ribeira Grande,PT,68.14,38.52,-28.7,few clouds,Quinta da Meia Eira
245,Zhuhai,CN,84.2,22.28,113.57,few clouds,珠海粤财假日酒店
253,Tabou,CI,76.35,4.42,-7.35,light rain,hotêl doufoulougou
254,Casablanca,MA,68.0,33.59,-7.62,fog,Hotel Moroccan House Casablanca
256,Siraha,NP,83.12,26.65,86.21,clear sky,Prashant Yadav Home
258,Cuamba,MZ,67.06,-14.8,36.54,clear sky,Hotel Vision
261,Hervey Bay,AU,82.0,-25.3,152.85,overcast clouds,Shelly Bay Resort
262,Faanui,PF,78.76,-16.48,-151.75,scattered clouds,Bora-Bora Pearl Beach Resort & Spa
265,Jalu,LY,70.29,29.03,21.55,overcast clouds,Jalu Hotel
268,Bathsheba,BB,80.6,13.22,-59.52,shower rain,Atlantis Hotel
270,Kampong Cham,KH,79.09,11.99,105.46,overcast clouds,7 Makara Hotel
279,Delano,US,73.4,35.77,-119.25,clear sky,Holiday Inn Express Delano Hwy 99
283,Tateyama,JP,78.01,34.98,139.87,broken clouds,Tateyama Seaside Hotel
284,San Cristobal,VE,66.4,7.77,-72.22,light rain,Pirineos
285,Benguela,AO,70.72,-12.58,13.41,clear sky,Hotel Praia Morena
286,Los Llanos De Aridane,ES,73.4,28.66,-17.92,overcast clouds,Valle Aridane
287,Ulladulla,AU,71.6,-35.35,150.47,scattered clouds,Sandpiper Motel
299,Bac Lieu,VN,79.97,9.29,105.72,light rain,Khách sạn Sài Gòn Bạc Liêu
300,Saint George,US,77.0,37.1,-113.58,clear sky,Best Western Plus Abbey Inn
302,Inhambane,MZ,68.29,-23.86,35.38,overcast clouds,Oceano
308,Kavieng,PG,84.79,-2.57,150.8,overcast clouds,Nusa Island Retreat
312,Broken Hill,AU,75.2,-31.95,141.43,broken clouds,Daydream Motel & Cottages
316,Baramati,IN,73.56,18.15,74.58,overcast clouds,Shikshak society
318,Port Blair,IN,79.65,11.67,92.75,moderate rain,Fortune Resort Bay Island
321,Avarua,CK,75.2,-21.21,-159.78,light rain,Paradise Inn
326,Wanning,CN,79.79,18.8,110.4,overcast clouds,Paradise Hotel
331,Byron Bay,AU,78.01,-28.65,153.62,scattered clouds,Backpackers Inn on the Beach
333,Krabi,TH,75.2,8.07,98.91,broken clouds,Tharapark View Hotel
334,Shizukuishi,JP,69.8,39.68,140.98,shower rain,Hotel Taikan
335,Guerrero Negro,MX,69.89,27.98,-114.06,clear sky,"Casa Laguna, Bed & Breakfast"
337,Encheng,CN,84.99,22.18,112.3,clear sky,Pinghu Hostel
339,Vila Velha,BR,75.0,-20.33,-40.29,overcast clouds,Hotel Vitória Palace
342,Cabo San Lucas,MX,84.2,22.89,-109.91,scattered clouds,Hotel Tesoro Los Cabos
343,Victoria,HK,84.99,22.29,114.16,few clouds,Mini Hotel Central
346,Celestun,MX,81.18,20.87,-90.4,scattered clouds,Posada Lilia
347,Mareeba,AU,82.4,-17.0,145.43,broken clouds,Trinity Plains Tourist Park
348,Majalgaon,IN,76.42,19.15,76.23,overcast clouds,Hotel Maratha lokseva
351,Tura,IN,83.57,25.52,90.22,clear sky,Hotel RIKMAN Continental
354,Clarence Town,AU,81.0,-32.58,151.78,few clouds,River Downs Cottage
356,Terre Haute,US,66.99,39.47,-87.41,clear sky,Drury Inn & Suites Terre Haute
360,Koraput,IN,74.16,18.82,82.72,overcast clouds,Raj Residency
363,Yeppoon,AU,82.4,-23.13,150.73,clear sky,Villa Mar Colina
365,Lagoa,PT,68.32,39.05,-27.98,overcast clouds,Casa Das Faias
367,Lubu,CN,80.01,23.17,112.28,light rain,Classic View Hotel
369,Sakakah,SA,66.2,29.97,40.21,clear sky,Fakhamat Al Orjoana Apartment
371,Kutoarjo,ID,78.01,-7.72,109.91,broken clouds,Massagus Hotel
372,Mayo,US,66.0,38.89,-76.51,moderate rain,Resorts Resource Group International
374,Chake Chake,TZ,76.32,-5.25,39.77,broken clouds,Hotel Archipelago
376,Sulangan,PH,82.44,11.14,123.72,overcast clouds,Maia's Beach Resort
377,Morant Bay,JM,84.2,17.88,-76.41,few clouds,Whispering Bamboo Cove Resort
378,Jiangmen,CN,82.99,22.58,113.08,few clouds,Palace International Hotel
382,Grand Gaube,MU,72.0,-20.01,57.66,clear sky,Veranda Paul et Virginie Hotel & Spa
385,Nieuw Nickerie,SR,81.16,5.95,-56.98,clear sky,Ishwardat Inn
386,Tual,ID,80.83,-5.67,132.75,overcast clouds,Grand Vilia Hotel
387,Senador Jose Porfirio,BR,76.93,-2.59,-51.95,broken clouds,MORADA DO SOL pousada
389,Pitimbu,BR,73.4,-7.47,-34.81,few clouds,Reserva do Abiaí
390,Taraza,CO,75.06,7.58,-75.4,moderate rain,Hotel Monteverde
391,San Jose,US,70.0,37.34,-121.89,few clouds,The Westin San Jose
392,Kalmunai,LK,84.78,7.42,81.82,overcast clouds,VS Villa
393,Salinopolis,BR,79.56,-0.61,-47.36,clear sky,Hotel Salinópolis
395,Tonantins,BR,76.86,-2.87,-67.8,clear sky,Hotel Rei Davi
398,Kutum,SD,76.71,14.2,24.67,scattered clouds,Dibbo areaمنطقة دبو
399,Nirasaki,JP,82.0,35.7,138.45,clear sky,HOTEL GOLF 韮崎
400,Codrington,AU,69.75,-38.27,141.97,few clouds,Codrington Gardens Bed And Breakfast
404,Hamilton,US,70.0,39.18,-84.53,overcast clouds,Six Acres Bed & Breakfast
405,Waddan,LY,73.9,29.16,16.14,clear sky,محل الشريف محمد العايب
406,Boffa,GN,76.23,10.17,-14.03,overcast clouds,Hôtel Niara Belly
407,Kosamba,IN,80.6,21.48,72.95,fog,Shivdhara Residency
410,Pemba,MZ,77.0,-12.97,40.52,scattered clouds,Guesthouse Samotina
412,Mbandaka,CD,69.75,0.05,18.26,overcast clouds,Guest House Epervier
414,Ixtapa,MX,81.0,20.7,-105.2,overcast clouds,Container Inn Puerto Vallarta
416,Awbari,LY,74.86,26.59,12.78,clear sky,فندق أوباري
423,Kahului,US,84.2,20.89,-156.47,scattered clouds,Maui Seaside Hotel
424,Gisborne,NZ,69.01,-38.65,178.0,broken clouds,ASURE Alfresco Motor Lodge
425,Beira,MZ,73.4,-19.84,34.84,scattered clouds,Beira Terrace Hotel
426,Palasa,IN,82.42,18.77,84.42,overcast clouds,Malla Krishana apartment
427,Gizo,SB,84.72,-8.1,156.84,light rain,Imagination Island
429,Vaitape,PF,79.61,-16.52,-151.75,scattered clouds,Conrad Bora Bora Nui
430,Lahat,ID,80.04,-3.8,103.53,overcast clouds,Bukit Serelo Hotel
431,Maragogi,BR,75.02,-9.01,-35.22,scattered clouds,Salinas do Maragogi All Inclusive Resort
434,Sambava,MG,75.27,-14.27,50.17,light rain,Melrose
435,Santa Isabel Do Rio Negro,BR,76.87,-0.41,-65.02,clear sky,Hotel GSA
436,Colotlan,MX,67.75,22.1,-103.27,broken clouds,Hotel Hacienda de los Galvez
437,Champerico,GT,69.01,14.3,-91.92,broken clouds,"Hotel y restaurante ""El Diamante"""
438,Yulara,AU,84.2,-25.24,130.99,clear sky,Desert Gardens Hotel - Ayers Rock Resort
440,Ugoofaaru,MV,82.72,5.67,73.0,overcast clouds,Ungoofaaru Inn
441,Virginia Beach,US,69.01,36.85,-75.98,light rain,Hilton Virginia Beach Oceanfront
443,Sawtell,AU,75.2,-30.38,153.1,clear sky,Boambee Waters Caravan Park
446,Cap Malheureux,MU,72.0,-19.98,57.61,clear sky,Pereybere Hotel & Spa
448,Nuevitas,CU,79.74,21.55,-77.26,overcast clouds,Hotel Caonaba
449,Miri,MY,78.8,4.41,114.01,scattered clouds,"Mega Hotel, Miri"
452,Rajampet,IN,75.99,14.18,79.17,heavy intensity rain,Maruthi Prasanna
455,Tecoanapa,MX,80.17,16.52,-98.75,overcast clouds,Hotel Manglares
458,Kita,ML,72.5,13.03,-9.49,moderate rain,Hôtel Nelson Mandela
459,Isangel,VU,80.49,-19.55,169.27,clear sky,Volcano Sea View Tree House
471,Ofaqim,IL,66.99,31.31,34.62,clear sky,The Negev Experience
475,Lovington,US,77.0,32.94,-103.35,clear sky,Buena vida rv parks
476,Natal,BR,73.4,-5.79,-35.21,clear sky,Villa Park Hotel | Natal
480,Chimore,BO,84.22,-16.98,-65.13,overcast clouds,Bichito
482,Beri,IN,84.42,25.9,79.89,scattered clouds,Sani sweets hous
483,Dawei,MM,84.0,14.08,98.2,few clouds,Hotel Dawei
495,Fort-De-France,MQ,78.8,14.61,-61.07,few clouds,Patio Gallieni
501,Ottumwa,US,75.0,41.02,-92.41,clear sky,Hampton Inn Ottumwa
503,Camacha,PT,69.8,33.08,-16.33,scattered clouds,Hotel Porto Santo & Spa
504,Cockburn Town,TC,83.17,21.46,-71.14,overcast clouds,Osprey Beach Hotel
505,Kilindoni,TZ,79.99,-7.91,39.67,moderate rain,Bustani B&B
507,Pemangkat,ID,79.36,1.17,108.97,light rain,Kost H.Syamsuddin
508,Shrigonda,IN,73.96,18.62,74.68,overcast clouds,कानिफनाथ मंदिर
509,Talcher,IN,83.97,20.95,85.22,clear sky,Hotel Green Park
511,Sangmelima,CM,67.01,2.93,11.98,overcast clouds,gamestar hotel
512,Salalah,OM,75.2,17.02,54.09,few clouds,HAMDAN PLAZA HOTEL
517,Quixeramobim,BR,71.98,-5.2,-39.29,clear sky,Hotel Veredas do Sertão
518,Port Augusta,AU,84.2,-32.5,137.77,overcast clouds,Majestic Oasis Apartments
519,Poindimie,NC,79.05,-20.93,165.33,scattered clouds,hotel de la plage
521,Nisia Floresta,BR,73.4,-6.09,-35.21,clear sky,Rancho Crepusculo
522,Touros,BR,73.4,-5.2,-35.46,clear sky,INN NEW HORIZON
523,Nara,JP,79.0,34.69,135.8,few clouds,Guesthouse Nara Komachi
524,Morondava,MG,73.31,-20.28,44.28,clear sky,La Case Bambou
527,Saint-Pierre,RE,70.0,-21.34,55.48,clear sky,Lindsey Hôtel
529,Rodrigues Alves,BR,77.07,-7.74,-72.65,few clouds,Pousada Aconchego
530,Colac,AU,69.01,-38.33,143.58,broken clouds,Otway Gate Motel
532,Marsh Harbour,BS,82.83,26.54,-77.06,overcast clouds,Abaco Beach Resort
533,Benghazi,LY,71.26,32.12,20.07,broken clouds,Tibesti Hotel
534,Harper,LR,76.44,4.38,-7.72,moderate rain,Screensaver
538,Abonnema,NG,73.4,4.71,6.79,mist,Corper's Lodge Obonoma
542,Cap-Haitien,HT,82.13,19.76,-72.2,light rain,Habitation Jouissant
544,Doha,QA,80.6,25.29,51.53,clear sky,Doha Marriott Hotel
545,Caborca,MX,78.01,30.58,-111.1,clear sky,Hotel Los Lagos
547,Isiro,CD,66.7,2.77,27.62,moderate rain,Nova
548,Kiama,AU,69.01,-34.68,150.87,scattered clouds,The Sebel Kiama Harbourside
549,Ilhabela,BR,67.96,-23.78,-45.36,scattered clouds,Ilha Flat Hotel
555,Mendi,PG,71.35,-6.18,143.65,light rain,Kiburu Lodge
558,Acapulco,MX,82.4,16.86,-99.89,scattered clouds,HS Hotsson Smart Acapulco
559,Dicabisagan,PH,81.3,17.08,122.42,overcast clouds,Nancy Montanes Bernardo
561,Seka,TH,76.6,17.93,103.96,overcast clouds,โรงแรมเสาวลักษณ์วิลล่า
562,Totness,SR,80.78,5.88,-56.32,clear sky,STAATS LOGEERGEBOUW TOTNESS
566,Sorong,ID,83.48,-0.88,131.25,light rain,The Waigo Hotel
568,Masallatah,LY,72.41,32.62,14.0,clear sky,Mohamed Ahmed Salem
576,Port Macquarie,AU,78.01,-31.43,152.92,clear sky,Rydges Port Macquarie
579,Sao Joao Da Barra,BR,69.76,-21.64,-41.05,overcast clouds,Pousada Porto De Canoas
581,Sechura,PE,65.91,-5.56,-80.82,few clouds,Hospedaje Costa Bella
584,Baracoa,CU,80.4,20.35,-74.5,overcast clouds,Hostal Rio Miel
585,Luganville,VU,84.2,-15.53,167.17,scattered clouds,The Espiritu Hotel
586,Kavaratti,IN,81.72,10.57,72.64,light rain,Hotels in Lakshadweep Islands
587,Poum,NC,77.54,-20.23,164.02,clear sky,Gîte kajeon
589,Lazaro Cardenas,MX,80.46,17.96,-102.2,overcast clouds,Collection O Hotel Quinta Antigua
597,Saint-Georges,GD,84.2,12.06,-61.75,few clouds,Siesta Hotel
600,Swan Hill,AU,76.17,-35.34,143.55,clear sky,Lazy River Motor Inn
601,Trairi,BR,77.29,-3.28,-39.27,clear sky,Pousada Field Lilies - Trairi
603,Juba,SS,69.85,4.85,31.58,moderate rain,ROYAL PALACE HOTEL - JUBA
607,Mount Pleasant,US,77.0,32.79,-79.86,broken clouds,Best Western Patriots Point
608,Saint-Paul,RE,73.4,-21.01,55.27,clear sky,Boucan Canot
611,Codajas,BR,78.42,-3.84,-62.06,scattered clouds,Hotel Tamires
613,Naze,JP,80.6,28.37,129.48,broken clouds,奄美ポートタワーホテル
614,Progreso,MX,82.4,21.28,-89.67,scattered clouds,Playa Linda Hotel
615,Marawi,PH,82.0,8.0,124.29,overcast clouds,Derogongan Residence
616,Bubaque,GW,83.3,11.28,-15.83,light rain,Casa Dora - Mango Lodge
617,Phirangipuram,IN,78.8,16.3,80.27,light rain,Nirmal hrudai orphanage
619,Ukiah,US,69.8,39.15,-123.21,clear sky,Hampton Inn Ukiah
621,Ingraj Bazar,IN,84.94,25.0,88.15,few clouds,Hotel Samrat Malda
624,Diourbel,SN,79.09,14.66,-16.39,clear sky,ISFAR maison Blanche
628,Veraval,IN,82.45,20.9,70.37,broken clouds,Lords Inn Somnath
630,Iwanai,JP,65.8,42.97,140.51,light rain,いわない高原ホテル
633,Qui Nhon,VN,82.76,13.77,109.23,overcast clouds,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
635,Manoel Urbano,BR,82.06,-8.84,-69.26,broken clouds,Baixada Beira Rio
636,Butte,US,73.4,39.65,-121.57,clear sky,Lime Saddle Campground
639,Belmonte,BR,73.4,-15.86,-38.88,mist,Pousada Monte Carmelo O Pão
641,Manaure,CO,83.53,11.78,-72.44,clear sky,Del mar vendra
642,Wajima,JP,69.8,37.4,136.9,broken clouds,Wajiima Onsen Yashio
646,Khammam,IN,77.85,17.25,80.15,overcast clouds,Hotel Vishnu Residency
648,Oriximina,BR,78.53,-1.77,-55.87,broken clouds,Pousada Tia Amélia
649,Moree,AU,82.4,-29.47,149.85,scattered clouds,Molika Springs Motel
650,Gushikawa,JP,84.2,26.35,127.87,scattered clouds,Kirari Guest House
651,Birin,NP,78.8,26.89,88.07,few clouds,Suryodaya hotel
653,Nichinan,JP,77.0,31.6,131.37,few clouds,Guest House Aki
655,Japura,ID,80.83,-0.32,102.35,overcast clouds,Rumah mbah Jamah
660,Isla Vista,US,66.99,34.41,-119.86,clear sky,Super 8 by Wyndham Santa Barbara/Goleta
661,Janauba,BR,73.26,-15.8,-43.31,overcast clouds,Ouro Norte Palace Hotel
662,Maceio,BR,71.6,-9.67,-35.74,scattered clouds,Mercure Maceio Pajucara Hotel
664,Vilhena,BR,68.9,-12.74,-60.15,overcast clouds,Hotel Mirage
668,Port Hueneme,US,66.99,34.15,-119.2,clear sky,Hampton Inn Channel Islands Harbor
669,Nouakchott,MR,73.4,18.09,-15.98,broken clouds,Hôtel Iman
670,Mana,GF,80.4,5.66,-53.78,clear sky,LE SAMANA
672,Calabozo,VE,74.26,8.92,-67.43,few clouds,Hotel Giardini
676,Frontera,MX,80.92,26.93,-101.45,clear sky,Fiesta Inn Monclova
677,Sur,OM,83.97,22.57,59.53,clear sky,Sur Plaza Hotel
681,Masuda,JP,69.8,34.67,131.85,broken clouds,Masuda Green Hotel Morris
